rank,arxiv_id,published,relevance_score,title,authors,primary_category,score_reasons,matched_queries,abs_url,pdf_url
1,2605.23950,2026-05-07T15:24:59Z,30,Stop Comparing LLM Agents Without Disclosing the Harness,Yunbei Zhang; Janet Wang; Yingqiang Ge; Weijie Xu; Jihun Hamm; Chandan K. Reddy,cs.AI,attribution/statistics; evaluation; explicit harness/scaffold; harness component; trajectory,"all:""variance decomposition"" AND all:agent",https://arxiv.org/abs/2605.23950,https://arxiv.org/pdf/2605.23950
2,2606.08275,2026-06-06T17:44:23Z,27,Causal Agent Replay: Counterfactual Attribution for LLM-Agent Failures,Jaineet Shah,cs.LG,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.08275,https://arxiv.org/pdf/2606.08275
3,2605.17641,2026-05-17T20:21:55Z,26,Causal Intervention-Based Memory Selection for Long-Horizon LLM Agents,Saksham Sahai Srivastava,cs.AI,attribution/statistics; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.17641,https://arxiv.org/pdf/2605.17641
4,2602.22953,2026-02-26T12:48:02Z,26,General Agent Evaluation,Elron Bandel; Asaf Yehudai; Lilach Eden; Yehoshua Sagron; Yotam Perlitz; Elad Venezian; Natalia Razinkov; Natan Ergas; Shlomit Shachor Ifergan; Segev Shlomov; Michal Jacovi; Leshem Choshen; Liat Ein-Dor; Yoav Katz; Michal Shmueli-Scheuer,cs.AI,attribution/statistics; evaluation; explicit harness/scaffold; harness component; reliability,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.22953,https://arxiv.org/pdf/2602.22953
5,2606.16364,2026-06-15T07:58:56Z,25,Looking Is Not Picking: An Attention-Segment Account of Tool-Selection Failures in LLM Agents,Shiyang Chen,cs.AI,attribution/statistics; explicit harness/scaffold; harness component; reliability; trajectory; transfer/overfit,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.16364,https://arxiv.org/pdf/2606.16364
6,2605.06066,2026-05-07T11:53:56Z,24,Causal Reinforcement Learning for Complex Card Games: A Magic The Gathering Benchmark,Cristiano da Costa Cunha; Ajmal Mian; Tim French; Wei Liu,cs.LG,attribution/statistics; evaluation; transfer/overfit,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.06066,https://arxiv.org/pdf/2605.06066
7,2604.01235,2026-03-26T18:50:46Z,24,Runtime Burden Allocation for Structured LLM Routing in Agentic Expert Systems: A Full-Factorial Cross-Backend Methodology,Zhou Hanlin; Chan Huah Yong,cs.AI,attribution/statistics; cost/budget; evaluation; transfer/overfit,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2604.01235,https://arxiv.org/pdf/2604.01235
8,2602.22724,2026-02-26T07:59:10Z,24,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,Tian Zhang; Yiwei Xu; Juan Wang; Keyan Guo; Xiaoyang Xu; Bowen Xiao; Quanlong Guan; Jinlin Fan; Jiawei Liu; Zhiquan Liu; Hongxin Hu,cs.CR,attribution/statistics; evaluation; harness component; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2602.22724,https://arxiv.org/pdf/2602.22724
9,2606.27154,2026-06-25T15:24:23Z,23,OpenRCA 2.0: From Outcome Labels to Causal Process Supervision,Aoyang Fang; Yifan Yang; Jin'ao Shang; Qisheng Lu; Junjielung Xu; Rui Wang; Songhan Zhang; Yuzhong Zhang; Boxi Yu; Pinjia He,cs.AI,attribution/statistics; evaluation; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.27154,https://arxiv.org/pdf/2606.27154
10,2606.15508,2026-06-13T23:27:51Z,23,ToolMenuBench: Benchmarking Tool-Menu Filtering Strategies for Reliable and Efficient LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,attribution/statistics; cost/budget; evaluation; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.15508,https://arxiv.org/pdf/2606.15508
11,2606.10322,2026-06-09T02:18:44Z,23,Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs,Saeid Jamshidi; Amin Nikanjam; Arghavan Moradi Dakhel; Kawser Wazed Nafi; Foutse Khomh,cs.CR,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.10322,https://arxiv.org/pdf/2606.10322
12,2605.15230,2026-05-13T18:03:51Z,23,EnergyAgentBench: Benchmarking LLM Agents on Live Energy Infrastructure Data,Eliseo Curcio,econ.EM,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.15230,https://arxiv.org/pdf/2605.15230
13,2603.06859,2026-03-06T20:25:11Z,23,Exact Is Easier: Credit Assignment for Cooperative LLM Agents,Yanjun Chen; Yirong Sun; Hanlin Wang; Jinghan Wang; Xinming Zhang; Xiaoyu Shen; Wenjie Li; Wei Zhang,cs.LG,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2603.06859,https://arxiv.org/pdf/2603.06859
14,2606.29193,2026-06-28T04:38:05Z,22,A Multi-Dataset Benchmark for Evaluating LLM Agents in Microservice Failure Diagnosis,Yuanhong Cai; Xiaohui Nie; Kanglin Yin; Changhua Pei; Yongqian Sun; Shenglin Zhang; Haibin Liu; Guiyang Liu; Xidao Wen; Fang Situ; Dan Pei,cs.SE,attribution/statistics; evaluation; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.29193,https://arxiv.org/pdf/2606.29193
15,2606.05558,2026-06-04T01:13:24Z,22,Autoregressive Diffusion World Models for Off-Policy Evaluation of LLM Agents,Kaixuan Liu; Guojun Xiong; Weinan Zhang; Shengpu Tang,cs.LG,attribution/statistics; evaluation; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.05558,https://arxiv.org/pdf/2606.05558
16,2603.29755,2026-03-31T13:54:34Z,22,CausalPulse: An Industrial-Grade Neurosymbolic Multi-Agent Copilot for Causal Diagnostics in Smart Manufacturing,Chathurangi Shyalika; Utkarshani Jaimini; Cory Henson; Amit Sheth,cs.AI,attribution/statistics; cost/budget; harness component; reliability,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2603.29755,https://arxiv.org/pdf/2603.29755
17,2603.20320,2026-03-19T23:34:46Z,22,The Causal Impact of Tool Affordance on Safety Alignment in LLM Agents,Shasha Yu; Fiona Carroll; Barry L. Bentley,cs.SE,attribution/statistics; evaluation; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2603.20320,https://arxiv.org/pdf/2603.20320
18,2601.02314,2026-01-05T18:05:29Z,22,Project Ariadne: A Structural Causal Framework for Auditing Faithfulness in LLM Agents,Sourena Khanzadeh,cs.AI,attribution/statistics; evaluation; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2601.02314,https://arxiv.org/pdf/2601.02314
19,2511.10687,2025-11-11T22:21:08Z,22,Who Gets the Reward & Who Gets the Blame? Evaluation-Aligned Training Signals for Multi-LLM Agents,Chih-Hsuan; Yang; Tanwi Mallick; Le Chen; Krishnan Raghavan; Amal Gueroudji; Ian T. Foster; Rajeev Thakur,cs.MA,attribution/statistics; evaluation; reliability; system-level,"all:""system-level evaluation"" AND all:agent",https://arxiv.org/abs/2511.10687,https://arxiv.org/pdf/2511.10687
20,2606.17541,2026-06-16T05:42:19Z,21,Offline Preference-Based Trajectory Evaluation,Fernando Diaz,cs.LG,cost/budget; evaluation; reliability; trajectory,"all:""ranking stability"" AND all:agent",https://arxiv.org/abs/2606.17541,https://arxiv.org/pdf/2606.17541
21,2605.23723,2026-05-22T15:03:13Z,21,MemAudit: Post-hoc Auditing of Poisoned Agent Memory via Causal Attribution and Structural Anomaly Detection,Zhewen Tan; Yilun Yao; Huiyan Jin; Wenhan Yu; Guoan Wang; Mengyuan Fan; liang lu; Feng Liu; Xiangzheng Zhang; Duohe Ma; Tong Yang; Lin Sun,cs.AI,attribution/statistics; harness component; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.23723,https://arxiv.org/pdf/2605.23723
22,2606.11213,2026-05-01T18:39:02Z,21,Beyond Compaction: Structured Context Eviction for Long-Horizon Agents,Andrew Semenov; Svyatoslav Dorofeev,cs.CL,attribution/statistics; cost/budget; harness component; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.11213,https://arxiv.org/pdf/2606.11213
23,2604.23374,2026-04-25T16:39:16Z,21,Ghost in the Agent: Redefining Information Flow Tracking for LLM Agents,Yuandao Cai; Wensheng Tang; Cheng Wen; Shengchao Qin,cs.CR,attribution/statistics; cost/budget; evaluation; harness component; transfer/overfit,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2604.23374,https://arxiv.org/pdf/2604.23374
24,2604.13630,2026-04-15T08:59:00Z,21,SafeHarness: Lifecycle-Integrated Security Architecture for LLM-based Agent Deployment,Xixun Lin; Yang Liu; Yancheng Chen; Yongxuan Wu; Yucheng Ning; Yilong Liu; Nan Sun; Shun Zhang; Bin Chong; Chuan Zhou; Yanan Cao,cs.CR,attribution/statistics; evaluation; explicit harness/scaffold; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2604.13630,https://arxiv.org/pdf/2604.13630
25,2602.16062,2026-02-17T22:22:32Z,21,Harnessing Implicit Cooperation: A Multi-Agent Reinforcement Learning Approach Towards Decentralized Local Energy Markets,Nelson Salazar-Pena; Alejandra Tabares; Andres Gonzalez-Mancera,eess.SY,attribution/statistics; cost/budget; evaluation; harness component; reliability,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.16062,https://arxiv.org/pdf/2602.16062
26,2606.13317,2026-06-11T13:12:10Z,20,SkillCAT: Contrastive Assessment and Topology-Aware Skill Self-Evolution for LLM Agents,Kunfeng Chen; Qihuang Zhong; Juhua Liu; Bo Du,cs.CL,attribution/statistics; reliability; trajectory; transfer/overfit,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.13317,https://arxiv.org/pdf/2606.13317
27,2606.07904,2026-06-05T23:47:33Z,20,Contract2Tool: Learning Preconditions and Effects for Reliable Tool-Augmented LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,attribution/statistics; cost/budget; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.07904,https://arxiv.org/pdf/2606.07904
28,2603.03784,2026-03-04T06:50:32Z,20,Specification-Driven Generation and Evaluation of Discrete-Event World Models via the DEVS Formalism,Zheyu Chen; Huiteng Zhuang; Zhuohuan Li; Chuanhao Li,cs.AI,attribution/statistics; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2603.03784,https://arxiv.org/pdf/2603.03784
29,2509.06269,2025-09-08T01:17:46Z,20,REMI: A Novel Causal Schema Memory Architecture for Personalized Lifestyle Recommendation Agents,Vishal Raman; Vijai Aravindh R; Abhijith Ragav,cs.AI,attribution/statistics; evaluation; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2509.06269,https://arxiv.org/pdf/2509.06269
30,2606.31002,2026-06-30T00:27:53Z,19,Beyond Compilation: Evaluating Faithful Natural-Language-to-Lean Statement Formalization,Ke Zhang; Patricio Gallardo Candela; Sudhir Murthy; Yi Xie; Zhi Wang; Maziar Raissi,cs.AI,attribution/statistics; evaluation; harness component; reliability,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2606.31002,https://arxiv.org/pdf/2606.31002
31,2606.16813,2026-06-15T14:57:08Z,19,GIST-CMTF: Goal-State Inference for Causal Minimal Tool Filtering in LLM Agents,Rahul Suresh Babu; Rohit Shukla,cs.AI,attribution/statistics; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.16813,https://arxiv.org/pdf/2606.16813
32,2605.20923,2026-05-20T09:09:13Z,19,Causal Past Logic for Runtime Verification of Distributed LLM Agent Workflows,Benedikt Bollig,cs.LO,attribution/statistics; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.20923,https://arxiv.org/pdf/2605.20923
33,2603.14987,2026-03-16T08:51:33Z,19,Beyond Benchmark Islands: Toward Representative Trustworthiness Evaluation for Agentic AI,Jinhu Qi; Yifan Li; Minghao Zhao; Wentao Zhang; Zijian Zhang; Yaoman Li; Irwin King,cs.CL,evaluation; harness component; reliability; transfer/overfit,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2603.14987,https://arxiv.org/pdf/2603.14987
34,2601.04556,2026-01-08T03:36:06Z,19,4D-ARE: Bridging the Attribution Gap in LLM Agent Requirements Engineering,Bo Yu; Lei Zhao,cs.SE,attribution/statistics; evaluation,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2601.04556,https://arxiv.org/pdf/2601.04556
35,2605.20061,2026-05-19T16:19:29Z,18,"Rewarding Beliefs, Not Actions: Consistency-Guided Credit Assignment for Long-Horizon Agents",Wenjie Tang; Minne Li; Sijie Huang; Liquan Xiao; Yuan Zhou,cs.CL,attribution/statistics; cost/budget; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.20061,https://arxiv.org/pdf/2605.20061
36,2604.17159,2026-04-18T22:13:23Z,18,Systematic Capability Benchmarking of Frontier Large Language Models for Offensive Cyber Tasks,Tyler H. Merves; Michael H. Conaway; Joseph M. Escobar; Hakan T. Otal; Unal Tatar,cs.CR,attribution/statistics; cost/budget; evaluation; harness component,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2604.17159,https://arxiv.org/pdf/2604.17159
37,2604.04035,2026-04-05T09:28:51Z,18,Causality Laundering: Denial-Feedback Leakage in Tool-Calling LLM Agents,Mohammad Hossein Chinaei,cs.CR,attribution/statistics; evaluation; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2604.04035,https://arxiv.org/pdf/2604.04035
38,2602.21091,2026-02-24T16:52:15Z,18,Can Interest-Bearing Positions Solve the Long-Horizon Problem in Prediction Markets?,Caleb Maresca,econ.GN,attribution/statistics; cost/budget; trajectory,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.21091,https://arxiv.org/pdf/2602.21091
39,2602.17547,2026-02-19T17:01:08Z,18,KLong: Training LLM Agent for Extremely Long-horizon Tasks,Yue Liu,cs.AI,evaluation; harness component; trajectory; transfer/overfit,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.17547,https://arxiv.org/pdf/2602.17547
40,2606.10475,2026-06-09T06:43:18Z,17,Decoupling Thought from Speech: Knowledge-Grounded Counterfactual Reasoning for Resilient Multi-Agent Argumentation,Jakub Masłowski; Jarosław A. Chudziak,cs.MA,attribution/statistics; reliability; trajectory,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2606.10475,https://arxiv.org/pdf/2606.10475
41,2605.26029,2026-05-25T16:57:06Z,17,CausaLab: A Scalable Environment for Interactive Causal Discovery Toward AI Scientists,Junlin Yang; Dylan Zhang; Xiangchen Song; Qirun Dai; Xiao Liu; Yuen Chen; Aniket Vashishtha; Jing Shi; Chenhao Tan; Hao Peng,cs.AI,attribution/statistics; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.26029,https://arxiv.org/pdf/2605.26029
42,2604.20911,2026-04-22T01:25:52Z,17,Omission Constraints Decay While Commission Constraints Persist in Long-Context LLM Agents,Yeran Gamage,cs.CR,attribution/statistics; cost/budget; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2604.20911,https://arxiv.org/pdf/2604.20911
43,2603.15408,2026-03-16T15:20:38Z,17,TrinityGuard: A Unified Framework for Safeguarding Multi-Agent Systems,Kai Wang; Biaojie Zeng; Zeming Wei; Chang Jin; Hefeng Zhou; Xiangtian Li; Chao Yang; Jingjing Qu; Xingcheng Xu; Xia Hu,cs.CR,evaluation; reliability; system-level,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2603.15408,https://arxiv.org/pdf/2603.15408
44,2603.07670,2026-03-08T15:08:01Z,17,"Memory for Autonomous LLM Agents:Mechanisms, Evaluation, and Emerging Frontiers",Pengfei Du,cs.AI,cost/budget; evaluation; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2603.07670,https://arxiv.org/pdf/2603.07670
45,2602.21447,2026-02-24T23:52:27Z,17,Adversarial Intent is a Latent Variable: Stateful Trust Inference for Securing Multimodal Agentic RAG,Inderjeet Singh; Vikas Pahuja; Aishvariya Priya Rathina Sabapathy; Chiara Picardi; Amit Giloni; Roman Vainshtein; Andrés Murillo; Hisashi Kojima; Motoyoshi Sekiya; Yuki Unno; Junichi Suga,cs.CR,attribution/statistics; cost/budget; evaluation,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.21447,https://arxiv.org/pdf/2602.21447
46,2505.16982,2025-05-22T17:52:59Z,17,Beyond Correlation: Towards Causal Large Language Model Agents in Biomedicine,Adib Bazgir; Amir Habibdoust Lafmajani; Yuwen Zhang,cs.AI,attribution/statistics; evaluation,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2505.16982,https://arxiv.org/pdf/2505.16982
47,2410.22584,2024-10-29T22:56:18Z,17,BenchAgents: Multi-Agent Systems for Structured Benchmark Creation,Natasha Butt; Varun Chandrasekaran; Neel Joshi; Besmira Nushi; Vidhisha Balachandran,cs.LG,attribution/statistics; evaluation; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2410.22584,https://arxiv.org/pdf/2410.22584
48,2607.04293,2026-07-05T13:08:51Z,16,CausalGame: Benchmarking Causal Thinking of LLM Agents in Games,Zhenhao Chen; Yongqiang Chen; Chenxi Liu; Junchi Yu; Xiangchen Song; Zijian Li; Jialin Li; Philip Torr; Bo Han; Kun Zhang,cs.CL,attribution/statistics; evaluation,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2607.04293,https://arxiv.org/pdf/2607.04293
49,2606.26960,2026-06-25T12:32:52Z,16,Toward Agentic SysAdmin: Rethinking System Administration with AI Agents,Gianmaria Frigo; Davide Saladino; Alberto Castagnaro; Francesco Marchiori; Denis Donadel; Luca Pajola; Mauro Conti,cs.NI,attribution/statistics; evaluation; harness component,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2606.26960,https://arxiv.org/pdf/2606.26960
50,2605.30454,2026-05-28T18:26:40Z,16,The Surface You Test Is Not the Surface That Breaks,Shifat E Arman; Syed Nazmus Sakib; Nafiul Haque; Shahrear Bin Amin,cs.CR,attribution/statistics; evaluation; harness component,"all:""variance decomposition"" AND all:agent",https://arxiv.org/abs/2605.30454,https://arxiv.org/pdf/2605.30454
51,2605.27784,2026-05-27T00:09:45Z,16,Diagnosing Live Within-Policy Instruction Conflicts in LLM Agents with Witnessed Resolution Profiles,Lu Yan; Xuan Chen; Xiangyu Zhang,cs.AI,attribution/statistics; evaluation; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.27784,https://arxiv.org/pdf/2605.27784
52,2605.18073,2026-05-18T08:55:30Z,16,A-ProS: Towards Reliable Autonomous Programming Through Multi-Model Feedback,Anika Tabassum; Md Sifat Hossain; Md. Fahim Arefin; Tariqul Islam; Tarannum Shaila Zaman,cs.SE,attribution/statistics; evaluation; harness component,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2605.18073,https://arxiv.org/pdf/2605.18073
53,2604.27143,2026-04-29T19:54:27Z,16,Enhancing Linux Privilege Escalation Attack Capabilities of Local LLM Agents,Benjamin Probst; Andreas Happe; Jürgen Cito,cs.CR,attribution/statistics; reliability; system-level,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2604.27143,https://arxiv.org/pdf/2604.27143
54,2603.16496,2026-03-17T13:22:54Z,16,AdaMem: Adaptive User-Centric Memory for Long-Horizon Dialogue Agents,Shannan Yan; Jingchen Ni; Leqi Zheng; Jiajun Zhang; Peixi Wu; Dacheng Yin; Jing Lyu; Chun Yuan; Fengyun Rao,cs.CL,attribution/statistics; harness component; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2603.16496,https://arxiv.org/pdf/2603.16496
55,2603.00575,2026-02-28T09:53:48Z,16,"SWE-Hub: A Unified Production System for Scalable, Executable Software Engineering Tasks",Yucheng Zeng; Shupeng Li; Daxiang Dong; Ruijie Xu; Zimo Chen; Liwei Zheng; Yuxuan Li; Zhe Zhou; Haotian Zhao; Lun Tian; Heng Xiao; Tianshu Zhu; Longkun Hao; Jianmin Wu,cs.AI,evaluation; system-level; trajectory,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2603.00575,https://arxiv.org/pdf/2603.00575
56,2602.02934,2026-02-03T00:10:48Z,16,AgenticSZZ: Temporal Knowledge Graph-Guided Agentic Bug-Inducing Commit Identification,Yu Shi; Hao Li; Bram Adams; Ahmed E. Hassan,cs.SE,attribution/statistics; evaluation; harness component,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2602.02934,https://arxiv.org/pdf/2602.02934
57,2602.00592,2026-01-31T08:16:40Z,16,DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder,Jiaran Zhang; Luck Ma; Fanqi Wan; Di Qi; Xu Zhao; Jieyi Hou; Zhe Xie; Mengqiang Ren; Xin Wu; Zhewei Huang; Liangyu Chen; Qi Han; Xiangyu Zhang,cs.AI,evaluation; harness component; reliability; trajectory,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.00592,https://arxiv.org/pdf/2602.00592
58,2601.06098,2026-01-02T08:49:58Z,16,Automatic Question Generation for Intuitive Learning Utilizing Causal Graph Guided Chain of Thought Reasoning,Nicholas X. Wang; Neel V. Parpia; Aaryan D. Parikh; Aggelos K. Katsaggelos,cs.AI,attribution/statistics,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2601.06098,https://arxiv.org/pdf/2601.06098
59,2511.04847,2025-11-06T22:24:35Z,16,Test-Time Adaptation for LLM Agents via Environment Interaction,Arthur Chen; Zuxin Liu; Jianguo Zhang; Akshara Prabhakar; Zhiwei Liu; Shelby Heinecke; Silvio Savarese; Victor Zhong; Caiming Xiong,cs.LG,attribution/statistics; cost/budget; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2511.04847,https://arxiv.org/pdf/2511.04847
60,2508.02736,2025-08-02T01:43:39Z,16,AgentSight: System-Level Observability for AI Agents Using eBPF,Yusheng Zheng; Yanpeng Hu; Tong Yu; Andi Quinn,cs.OS,evaluation; system-level,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2508.02736,https://arxiv.org/pdf/2508.02736
61,2607.01584,2026-07-02T01:31:18Z,15,EO-Agents: A Three-Agent LLM Pipeline for Earth Observation Hypothesis Generation,Mahyar Ghazanfari; Amin Tabrizian; Armin Mehrabian; Peng Wei,cs.AI,attribution/statistics; evaluation,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2607.01584,https://arxiv.org/pdf/2607.01584
